day,Julia,Max,twitch.tv/MaximumCold,Kat,,,
2023/12/4,276.9635571,244.1981233,57.56258485,80.2388795,,,
2023/12/5,,,,,,,
2023/12/6,,,,,,,
2023/12/7,,,,,,,
2023/12/8,,,,,,,
2023/12/9,,,,,,,
2023/12/10,,,,,,,
,,,,,,,
,,,,,,, 
,,,,,,,
,,,,,,,
,,,,,,,
2023/12/4,276.9635571,244.1981233,57.56258485,80.2388795,,,
2023/12/5,276.9635571,244.1981233,57.56258485,80.2388795,,,
2023/12/6,276.9635571,244.1981233,57.56258485,80.2388795,,,
2023/12/7,276.9635571,244.1981233,57.56258485,80.2388795,,,
2023/12/8,276.9635571,244.1981233,57.56258485,80.2388795,,,
2023/12/9,276.9635571,244.1981233,57.56258485,80.2388795,,,
2023/12/10,276.9635571,244.1981233,57.56258485,80.2388795,,,